"","ano","id_regiao","regiao","sigla_uf","pib_corrente_1_000","pib_per_capita_1_00","servicos_gov_1_000"
"380",2010,1,"Norte","TO",18046,4836.79,2462
"381",2010,1,"Norte","TO",20334,7755.14,4566
"382",2010,1,"Norte","TO",34235,7866.56,5650
"383",2010,1,"Norte","TO",49394,22259.54,6671
"384",2010,1,"Norte","TO",16974,5374.81,2380
"385",2010,1,"Norte","TO",411917,19907.07,52347
"386",2010,1,"Norte","TO",109323,8658.56,36705
"387",2010,1,"Norte","TO",54331,8088.61,6603
"388",2010,1,"Norte","TO",15467,7418.23,1595
"389",2010,1,"Norte","TO",44504,7745.15,4525
"390",2010,1,"Norte","TO",24677,7828.95,2922
"391",2010,1,"Norte","TO",66308,7367.59,18661
"392",2010,1,"Norte","TO",23850,5437.87,4579
"393",2010,1,"Norte","TO",146027,13665.26,58716
"394",2010,1,"Norte","TO",22874,6067.51,4985
"395",2010,1,"Norte","TO",21270,5653.8,3935
"396",2010,1,"Norte","TO",14875,6506.88,2800
"397",2010,1,"Norte","TO",53714,21861.82,6736
"398",2010,1,"Norte","TO",11238,10857.54,1645
"399",2010,1,"Norte","TO",32944,6649.94,3563
"400",2010,1,"Norte","TO",60013,8173.98,18955
"401",2010,1,"Norte","TO",570080,12830.39,223759
"402",2010,1,"Norte","TO",199268,19280.88,10441
"403",2010,1,"Norte","TO",37199,8107.97,5276
"404",2010,1,"Norte","TO",175468,15202.57,61699
"405",2010,1,"Norte","TO",421892,40609.47,19007
"406",2010,1,"Norte","TO",35158,6959.17,5063
"407",2010,1,"Norte","TO",65867,7652.68,20362
"408",2010,1,"Norte","TO",27275,6053.13,4341
"409",2010,1,"Norte","TO",22920,7849.24,2130
"410",2010,1,"Norte","TO",58395,8720.87,7556
"411",2010,1,"Norte","TO",22416,4928.67,4132
"412",2010,1,"Norte","TO",41895,5834.93,7309
"413",2010,1,"Norte","TO",16061,5746.38,2855
"414",2010,1,"Norte","TO",550115,11194.17,189930
"415",2010,1,"Norte","TO",35356,4615.12,5459
"416",2010,1,"Norte","TO",40119,10887.15,13016
"417",2010,1,"Norte","TO",45687,19309.77,17134
"418",2010,1,"Norte","TO",21002,5573.74,3019
"419",2010,1,"Norte","TO",24035,5745.83,3676
"420",2010,1,"Norte","TO",11848,6912.3,1960
"421",2010,1,"Norte","TO",25884,10071.58,4324
"422",2010,1,"Norte","TO",31834,5086.09,4512
"423",2010,1,"Norte","TO",19061,4927.76,3480
"424",2010,1,"Norte","TO",32763,9850.62,4927
"425",2010,1,"Norte","TO",54764,8298.77,10125
"426",2010,1,"Norte","TO",19746,6823.22,3634
"427",2010,1,"Norte","TO",22946,10782.86,3407
"428",2010,1,"Norte","TO",42419,9286.18,8572
"429",2010,1,"Norte","TO",16502,6540.62,2750
"430",2010,1,"Norte","TO",14703,5950.14,2275
"431",2010,1,"Norte","TO",22708,4920.45,3246
"432",2010,1,"Norte","TO",11117,7693.18,1432
"433",2010,1,"Norte","TO",45731,4359.53,6494
"434",2010,1,"Norte","TO",31646,10874.87,4980
"435",2010,1,"Norte","TO",21422,5001.56,3153
"436",2010,1,"Norte","TO",36556,8338.59,8554
"437",2010,1,"Norte","TO",46900,9248.67,10088
"438",2010,1,"Norte","TO",43776,4785.33,9124
"439",2010,1,"Norte","TO",20788,11953.72,2501
"440",2010,1,"Norte","TO",110350,7330.78,30888
"441",2010,1,"Norte","TO",12508,6430.97,1868
"442",2010,1,"Norte","TO",36606,14288.14,5758
"443",2010,1,"Norte","TO",4102952,17971.99,1861944
"444",2010,1,"Norte","TO",31115,4715.83,5656
"445",2010,1,"Norte","TO",140542,6216.48,48420
"446",2010,1,"Norte","TO",26071,16563.34,4367
"447",2010,1,"Norte","TO",21176,10098.37,3229
"448",2010,1,"Norte","TO",80223,7307.65,23722
"449",2010,1,"Norte","TO",230192,20044.57,28964
"450",2010,2,"Nordeste","MA",1012037,9729.91,446503
"451",2010,2,"Nordeste","MA",17247,2895.18,3435
"452",2010,2,"Nordeste","MA",32945,2842.54,7056
"453",2010,2,"Nordeste","MA",59900,2741.16,12063
"454",2010,2,"Nordeste","MA",77638,3241.38,15567
"455",2010,2,"Nordeste","MA",30450,2982.03,4174
"456",2010,2,"Nordeste","MA",97105,3947.98,41839
"457",2010,2,"Nordeste","MA",97762,3150.77,19480
"458",2010,2,"Nordeste","MA",131202,12187.83,24123
"459",2010,2,"Nordeste","MA",21934,3410.74,4167
"460",2010,2,"Nordeste","MA",129545,3418.62,26177
"461",2010,2,"Nordeste","MA",82435,3259.09,14864
"462",2010,2,"Nordeste","MA",72977,5241.48,18104
"463",2010,2,"Nordeste","MA",38630,2582.37,7049
"464",2010,2,"Nordeste","MA",35983,2578.16,5011
"465",2010,2,"Nordeste","MA",142220,3338.5,33572
"466",2010,2,"Nordeste","MA",104208,3301.07,19647
"467",2010,2,"Nordeste","MA",111985,3932.46,27867
"468",2010,2,"Nordeste","MA",31826,2785.64,6388
"469",2010,2,"Nordeste","MA",607057,6073,329891
"470",2010,2,"Nordeste","MA",166513,11126.82,37106
"471",2010,2,"Nordeste","MA",43405,2610.66,10244
"472",2010,2,"Nordeste","MA",15538,2929.48,2960
"473",2010,2,"Nordeste","MA",1438810,17223.62,720675
"474",2010,2,"Nordeste","MA",80646,4526.62,38587
"475",2010,2,"Nordeste","MA",309790,3746.31,106590
"476",2010,2,"Nordeste","MA",196705,3577.04,63632
"477",2010,2,"Nordeste","MA",20543,3147.31,3519
"478",2010,2,"Nordeste","MA",41186,3447.65,9865
"479",2010,2,"Nordeste","MA",18881,3449.83,3478
"480",2010,2,"Nordeste","MA",56247,2765.49,12139
"481",2010,2,"Nordeste","MA",26190,4367.95,4666
"482",2010,2,"Nordeste","MA",27914,3511.62,9420
"483",2010,2,"Nordeste","MA",156660,4007.38,34290
"484",2010,2,"Nordeste","MA",123547,4341.7,23351
"485",2010,2,"Nordeste","MA",46840,3159.92,6777
"486",2010,2,"Nordeste","MA",134500,4037.35,38523
"487",2010,2,"Nordeste","MA",38643,3666.34,5696
"488",2010,2,"Nordeste","MA",91132,3370,17898
"489",2010,2,"Nordeste","MA",70059,3061.2,18752
"490",2010,2,"Nordeste","MA",244982,3755.9,75629
"491",2010,2,"Nordeste","MA",44970,3044.65,7932
"492",2010,2,"Nordeste","MA",25260,2992.14,3888
"493",2010,2,"Nordeste","MA",27959,2629.69,4759
"494",2010,2,"Nordeste","MA",51233,2792.3,7411
"495",2010,2,"Nordeste","MA",57290,4285.32,14127
"496",2010,2,"Nordeste","MA",61637,3330.82,15030
"497",2010,2,"Nordeste","MA",62812,3070.46,13812
"498",2010,2,"Nordeste","MA",49600,4636.42,10783
"499",2010,2,"Nordeste","MA",144282,6017,48463
"500",2010,2,"Nordeste","MA",76066,3456.27,20286
"501",2010,2,"Nordeste","MA",1025086,6604.85,472860
"502",2010,2,"Nordeste","MA",29268,2841.59,5987
